-4.0,4.0
[-3.75030114],[4.40585191]
[-3.74979421],[4.40671274]
[-3.74928734],[4.40757361]
[-3.74878055],[4.40843452]
[-3.74827383],[4.40929547]
[-3.74776718],[4.41015646]
[-3.7472606],[4.41101749]
[-3.74675409],[4.41187856]
[-3.74624764],[4.41273967]
[-3.74574127],[4.41360083]
[-3.74523497],[4.41446202]
[-3.74472874],[4.41532326]
[-3.74422258],[4.41618453]
[-3.74371649],[4.41704585]
[-3.74321047],[4.41790721]
[-3.74270452],[4.41876861]
[-3.74219863],[4.41963004]
[-3.74169282],[4.42049152]
[-3.74118708],[4.42135304]
[-3.74068141],[4.42221461]
[-3.74017581],[4.42307621]
[-3.73967028],[4.42393785]
[-3.73916482],[4.42479953]
[-3.73865943],[4.42566126]
[-3.73815411],[4.42652302]
[-3.73764886],[4.42738483]
[-3.73714368],[4.42824667]
[-3.73663857],[4.42910856]
[-3.73613353],[4.42997048]
[-3.73562856],[4.43083245]
[-3.73512366],[4.43169446]
[-3.73461883],[4.43255651]
[-3.73411408],[4.4334186]
[-3.73360939],[4.43428073]
[-3.73310477],[4.4351429]
[-3.73260022],[4.43600511]
[-3.73209574],[4.43686736]
[-3.73159134],[4.43772966]
[-3.731087],[4.43859199]
[-3.73058273],[4.43945436]
[-3.73007853],[4.44031678]
[-3.72957441],[4.44117923]
[-3.72907035],[4.44204173]
[-3.72856637],[4.44290426]
[-3.72806245],[4.44376684]
[-3.7275586],[4.44462946]
[-3.72705483],[4.44549211]
[-3.72655112],[4.44635481]
[-3.72604749],[4.44721755]
[-3.72554392],[4.44808033]
[-3.72504043],[4.44894315]
[-3.72453701],[4.44980601]
[-3.72403365],[4.45066891]
[-3.72353037],[4.45153185]
[-3.72302716],[4.45239483]
[-3.72252401],[4.45325785]
[-3.72202094],[4.45412091]
[-3.72151794],[4.45498402]
[-3.72101501],[4.45584716]
[-3.72051215],[4.45671034]
[-3.72000936],[4.45757357]
[-3.71950664],[4.45843683]
[-3.71900399],[4.45930014]
[-3.71850141],[4.46016348]
[-3.7179989],[4.46102687]
[-3.71749646],[4.4618903]
[-3.71699409],[4.46275376]
[-3.71649179],[4.46361727]
[-3.71598956],[4.46448082]
[-3.71548741],[4.4653444]
[-3.71498532],[4.46620803]
[-3.7144833],[4.4670717]
[-3.71398136],[4.46793541]
[-3.71347948],[4.46879916]
[-3.71297768],[4.46966295]
[-3.71247594],[4.47052678]
[-3.71197428],[4.47139065]
[-3.71147269],[4.47225456]
[-3.71097116],[4.47311851]
[-3.71046971],[4.4739825]
[-3.70996833],[4.47484653]
[-3.70946702],[4.4757106]
[-3.70896578],[4.47657471]
[-3.70846461],[4.47743887]
[-3.70796351],[4.47830306]
[-3.70746248],[4.47916729]
[-3.70696152],[4.48003156]
[-3.70646063],[4.48089588]
[-3.70595981],[4.48176023]
[-3.70545907],[4.48262462]
[-3.70495839],[4.48348906]
[-3.70445778],[4.48435353]
[-3.70395725],[4.48521805]
[-3.70345678],[4.4860826]
[-3.70295639],[4.4869472]
[-3.70245607],[4.48781183]
[-3.70195581],[4.48867651]
[-3.70145563],[4.48954122]
[-3.70095552],[4.49040598]
[-3.70045548],[4.49127077]
[-3.69995551],[4.49213561]
[-3.69945561],[4.49300048]
[-3.69895578],[4.4938654]
[-3.69845602],[4.49473036]
[-3.69795634],[4.49559535]
[-3.69745672],[4.49646039]
[-3.69695717],[4.49732547]
[-3.6964577],[4.49819058]
[-3.69595829],[4.49905574]
[-3.69545896],[4.49992094]
[-3.6949597],[4.50078617]
[-3.6944605],[4.50165145]
[-3.69396138],[4.50251677]
[-3.69346233],[4.50338212]
[-3.69296335],[4.50424752]
[-3.69246444],[4.50511296]
[-3.6919656],[4.50597844]
[-3.69146684],[4.50684395]
[-3.69096814],[4.50770951]
[-3.69046951],[4.50857511]
[-3.68997096],[4.50944075]
[-3.68947247],[4.51030642]
[-3.68897406],[4.51117214]
[-3.68847572],[4.5120379]
[-3.68797744],[4.5129037]
[-3.68747924],[4.51376953]
[-3.68698111],[4.51463541]
[-3.68648305],[4.51550133]
[-3.68598507],[4.51636728]
[-3.68548715],[4.51723328]
[-3.6849893],[4.51809932]
[-3.68449153],[4.5189654]
[-3.68399382],[4.51983151]
[-3.68349619],[4.52069767]
[-3.68299862],[4.52156387]
[-3.68250113],[4.5224301]
[-3.68200371],[4.52329638]
[-3.68150636],[4.5241627]
[-3.68100908],[4.52502905]
[-3.68051187],[4.52589545]
[-3.68001473],[4.52676189]
[-3.67951767],[4.52762836]
[-3.67902067],[4.52849488]
