-4.0,4.0
[-3.2913515],[4.04777072]
[-3.29035947],[4.04790527]
[-3.28936747],[4.04804001]
[-3.28837549],[4.04817494]
[-3.28738353],[4.04831006]
[-3.28639161],[4.04844536]
[-3.2853997],[4.04858085]
[-3.28440783],[4.04871654]
[-3.28341598],[4.04885241]
[-3.28242415],[4.04898846]
[-3.28143235],[4.04912471]
[-3.28044058],[4.04926114]
[-3.27944883],[4.04939777]
[-3.27845711],[4.04953458]
[-3.27746542],[4.04967158]
[-3.27647375],[4.04980877]
[-3.27548211],[4.04994614]
[-3.27449049],[4.05008371]
[-3.2734989],[4.05022146]
[-3.27250733],[4.0503594]
[-3.2715158],[4.05049753]
[-3.27052428],[4.05063585]
[-3.2695328],[4.05077435]
[-3.26854134],[4.05091305]
[-3.26754991],[4.05105193]
[-3.2665585],[4.051191]
[-3.26556712],[4.05133026]
[-3.26457577],[4.0514697]
[-3.26358444],[4.05160934]
[-3.26259314],[4.05174916]
[-3.26160187],[4.05188917]
[-3.26061062],[4.05202937]
[-3.2596194],[4.05216976]
[-3.2586282],[4.05231034]
[-3.25763704],[4.0524511]
[-3.2566459],[4.05259206]
[-3.25565478],[4.0527332]
[-3.2546637],[4.05287453]
[-3.25367264],[4.05301604]
[-3.25268161],[4.05315775]
[-3.2516906],[4.05329964]
[-3.25069962],[4.05344172]
[-3.24970867],[4.05358399]
[-3.24871775],[4.05372645]
[-3.24772685],[4.0538691]
[-3.24673598],[4.05401193]
[-3.24574513],[4.05415495]
[-3.24475432],[4.05429816]
[-3.24376353],[4.05444156]
[-3.24277277],[4.05458515]
[-3.24178203],[4.05472893]
[-3.24079133],[4.05487289]
[-3.23980065],[4.05501704]
[-3.23881],[4.05516138]
[-3.23781937],[4.05530591]
[-3.23682877],[4.05545062]
[-3.23583821],[4.05559553]
[-3.23484766],[4.05574062]
[-3.23385715],[4.0558859]
[-3.23286666],[4.05603136]
[-3.2318762],[4.05617702]
[-3.23088577],[4.05632286]
[-3.22989537],[4.0564689]
[-3.22890499],[4.05661512]
[-3.22791465],[4.05676152]
[-3.22692433],[4.05690812]
[-3.22593403],[4.0570549]
[-3.22494377],[4.05720188]
[-3.22395353],[4.05734904]
[-3.22296333],[4.05749639]
[-3.22197315],[4.05764392]
[-3.22098299],[4.05779165]
[-3.21999287],[4.05793956]
[-3.21900277],[4.05808766]
[-3.21801271],[4.05823595]
[-3.21702267],[4.05838442]
[-3.21603265],[4.05853309]
[-3.21504267],[4.05868194]
[-3.21405272],[4.05883098]
[-3.21306279],[4.05898021]
[-3.21207289],[4.05912962]
[-3.21108302],[4.05927923]
[-3.21009318],[4.05942902]
[-3.20910337],[4.059579]
[-3.20811359],[4.05972917]
[-3.20712383],[4.05987952]
[-3.2061341],[4.06003007]
[-3.20514441],[4.0601808]
[-3.20415474],[4.06033172]
[-3.2031651],[4.06048283]
[-3.20217549],[4.06063412]
[-3.2011859],[4.0607856]
[-3.20019635],[4.06093728]
[-3.19920682],[4.06108913]
[-3.19821733],[4.06124118]
[-3.19722786],[4.06139342]
[-3.19623842],[4.06154584]
[-3.19524901],[4.06169845]
[-3.19425963],[4.06185125]
[-3.19327028],[4.06200423]
[-3.19228096],[4.06215741]
[-3.19129166],[4.06231077]
[-3.1903024],[4.06246432]
[-3.18931316],[4.06261806]
[-3.18832396],[4.06277198]
[-3.18733478],[4.0629261]
[-3.18634563],[4.0630804]
[-3.18535652],[4.06323489]
[-3.18436743],[4.06338956]
[-3.18337837],[4.06354443]
[-3.18238934],[4.06369948]
[-3.18140034],[4.06385472]
[-3.18041137],[4.06401015]
[-3.17942243],[4.06416577]
[-3.17843352],[4.06432157]
[-3.17744464],[4.06447756]
[-3.17645579],[4.06463374]
[-3.17546696],[4.06479011]
[-3.17447817],[4.06494666]
[-3.17348941],[4.0651034]
[-3.17250068],[4.06526033]
[-3.17151197],[4.06541745]
[-3.1705233],[4.06557476]
[-3.16953466],[4.06573225]
[-3.16854605],[4.06588993]
[-3.16755746],[4.0660478]
[-3.16656891],[4.06620586]
[-3.16558039],[4.0663641]
[-3.16459189],[4.06652253]
[-3.16360343],[4.06668115]
[-3.162615],[4.06683996]
[-3.1616266],[4.06699895]
[-3.16063823],[4.06715813]
[-3.15964988],[4.0673175]
[-3.15866157],[4.06747706]
[-3.15767329],[4.06763681]
[-3.15668504],[4.06779674]
[-3.15569682],[4.06795686]
[-3.15470863],[4.06811717]
[-3.15372047],[4.06827767]
[-3.15273234],[4.06843835]
[-3.15174425],[4.06859922]
[-3.15075618],[4.06876028]
[-3.14976814],[4.06892153]
[-3.14878014],[4.06908296]
[-3.14779216],[4.06924458]
[-3.14680422],[4.06940639]
[-3.1458163],[4.06956839]
[-3.14482842],[4.06973057]
[-3.14384057],[4.06989295]
[-3.14285275],[4.0700555]
[-3.14186496],[4.07021825]
[-3.1408772],[4.07038119]
[-3.13988947],[4.07054431]
[-3.13890177],[4.07070762]
[-3.13791411],[4.07087112]
[-3.13692647],[4.0710348]
[-3.13593887],[4.07119867]
[-3.1349513],[4.07136273]
[-3.13396375],[4.07152698]
[-3.13297624],[4.07169142]
[-3.13198877],[4.07185604]
[-3.13100132],[4.07202085]
[-3.1300139],[4.07218585]
